day,conversion_scenario,conversion_scale_factor,certified_n1_baseline_cost_usd,reference_n1_baseline_cost_usd,payment_cap_margin_usd,payment_cap_violation_usd
92,q90,1.2780232437772188,106815.63612603782,106815.63612852676,2.488945028744638e-06,0.0
93,q10,0.734154196797104,106406.34112833062,106406.34113007292,1.7423008102923632e-06,0.0
93,q50,0.9957235602389072,106570.409958441,106570.40996080404,2.363041858188808e-06,0.0
93,q90,1.2780232437772188,106747.48183799603,106747.48184102902,3.032982931472361e-06,0.0
94,q10,0.734154196797104,106336.21851399484,106336.2185162129,2.218061126768589e-06,0.0
94,q50,0.9957235602389072,106475.3035904541,106475.30359346243,3.0083319870755076e-06,0.0
94,q90,1.2780232437772188,106625.41166332894,106625.41166719022,3.861277946271002e-06,0.0
95,q10,0.734154196797104,106542.34722462048,106542.3472246269,6.417394615709782e-09,0.0
95,q50,0.9957235602389072,106755.503826336,106755.50382634466,8.658389560878277e-09,0.0
95,q90,1.2780232437772188,106985.64958135349,106985.64958136626,1.2776581570506096e-08,0.0
96,q10,0.734154196797104,106356.20948037924,106356.20948462824,4.248999175615609e-06,0.0
96,q50,0.9957235602389072,106502.41707193758,106502.41707770043,5.762849468737841e-06,0.0
96,q90,1.2780232437772188,106660.2121450483,106660.212152445,7.396709406748414e-06,0.0
97,q10,0.734154196797104,106357.7092594402,106357.7092594402,0.0,0.0
97,q50,0.9957235602389072,106504.45120230518,106504.45120230518,0.0,0.0
97,q90,1.2780232437772188,106662.82297600024,106662.82297600024,0.0,0.0
98,q10,0.734154196797104,106353.18080999162,106353.18080999162,0.0,0.0
98,q50,0.9957235602389072,106498.30932662426,106498.30932662426,0.0,0.0
98,q90,1.2780232437772188,106654.9398042104,106654.9398042104,0.0,0.0
99,q10,0.734154196797104,106348.92158799709,106349.9817248646,1.0601368675124831,0.0
99,q50,0.9957235602389072,106492.532600554,106493.97045006938,1.4378495153796393,0.0
99,q90,1.2780232437772188,106647.52530636624,106649.3708036258,1.8454972595645813,0.0
100,q10,0.734154196797104,106330.57916418165,106330.57916600798,1.8263381207361817e-06,0.0
100,q50,0.9957235602389072,106467.65501540282,106467.65501787988,2.4770561140030622e-06,0.0
100,q90,1.2780232437772188,106615.59462465713,106615.5946278365,3.1793751986697316e-06,0.0
101,q10,0.734154196797104,106857.5282087681,106858.51811247451,0.9899037064169534,0.0
101,q50,0.9957235602389072,107183.5957883035,107184.93838151914,1.3425932156387717,0.0
