block_length_days,method,metric,mean,ci_2.5,ci_97.5
18,Metadata Gradient Boosting,false_response_ratio,0.8361452884204993,0.823986575995012,0.8743275130041537
18,Metadata Gradient Boosting,credit_f1,0.2644502686339565,0.2127856379398933,0.28018269612750213
18,Ex-post Metadata Gradient Boosting,nrmse,2.1236523448704627,1.9434093215345016,2.5618297122400224
18,Ex-post Metadata Gradient Boosting,false_response_ratio,0.8347761289967935,0.8215215070493137,0.8698810539327999
18,Ex-post Metadata Gradient Boosting,credit_f1,0.26741340977764494,0.21917614961135956,0.28460782082811914
18,Ex-post Quantile Gradient Boosting,nrmse,0.9444731654157017,0.7087480943335859,1.4988679876594841
18,Ex-post Quantile Gradient Boosting,false_response_ratio,0.48924344804753894,0.34332797726331366,0.6813704440926314
18,Ex-post Quantile Gradient Boosting,credit_f1,0.5316263338443133,0.401989294536072,0.6147360237382695
18,Synthetic Control,nrmse,2.552037287594039,2.345015518181925,3.205119967958387
18,Synthetic Control,false_response_ratio,0.8671926330514376,0.8574864493590617,0.8954638929917922
18,Synthetic Control,credit_f1,0.20626312154014823,0.17364588438733766,0.21428974244518378
18,Feasible Quantile Projection,nrmse,0.3213704879915091,0.2896352103943454,0.36299628805258777
18,Feasible Quantile Projection,false_response_ratio,0.19221031328756996,0.13336748274033947,0.23959448541511633
18,Feasible Quantile Projection,credit_f1,0.5080477254230448,0.32456735298605943,0.6655622942085013
18,Tail-Risk Feasible Counterfactual,nrmse,0.33079501527027316,0.2845046207606004,0.3558831998282929
18,Tail-Risk Feasible Counterfactual,false_response_ratio,0.16341570276381578,0.12347319172299415,0.18625653970597222
18,Tail-Risk Feasible Counterfactual,credit_f1,0.48421870809475087,0.29275789783197764,0.6578404893387427
18,Single Feasible Projection,nrmse,0.3452089804915102,0.29032414566178627,0.371003884861479
18,Single Feasible Projection,false_response_ratio,0.144146510188196,0.0848839049915477,0.18877386817420547
18,Single Feasible Projection,credit_f1,0.44155765212298137,0.2543498692857934,0.6152779815817562
18,Risk-Constrained Convex Verifier,nrmse,0.3433814662182168,0.28674576243533567,0.3697745821586897
18,Risk-Constrained Convex Verifier,false_response_ratio,0.14124824973683456,0.08178154060625246,0.18513463397369498
18,Risk-Constrained Convex Verifier,credit_f1,0.44163063622999443,0.25478108982438963,0.616138691969209
