day,endpoint,conversion_scale_factor,hull_baseline_cost_min_usd,hull_baseline_cost_max_usd,counterfactual_cost_usd,payment_interval_lower_usd,payment_interval_upper_usd,payment_interval_width_usd,selected_reference_payment_usd,oracle_payment_usd,oracle_inside_interval,candidate_hull_vertices,candidate_hull_definition,schema_version
97,q01,0.5844748596130233,106319.61259404256,106319.61259404256,106327.87006140896,-8.257467366405763,-8.257467366405763,0.0,-8.257467366405763,,,2,segment between selected reference and payment-certified profile,5
97,q99,2.6930887095833507,107691.13248913402,107691.13248913402,107729.40258005682,-38.27009092280059,-38.27009092280059,0.0,-38.27009092280059,,,2,segment between selected reference and payment-certified profile,5
98,q01,0.5844748596130233,106315.4169884844,106315.4169884844,106324.06563823015,-8.648649745751754,-8.648649745751754,0.0,-8.648649745751754,,,2,segment between selected reference and payment-certified profile,5
98,q99,2.6930887095833507,107671.761916753,107671.761916753,107711.77736654822,-40.01544979521714,-40.01544979521714,0.0,-40.01544979521714,,,2,segment between selected reference and payment-certified profile,5
99,q01,0.5844748596130233,106311.50709441552,106312.48085116192,106319.1461994178,-7.639105002279393,-6.66534825587587,0.9737567464035237,-6.66534825587587,,,2,segment between selected reference and payment-certified profile,5
99,q99,2.6930887095833507,107653.59719556745,107658.12277003207,107688.9361153723,-35.338919804853504,-30.81334534022608,4.525574464627425,-30.81334534022608,,,2,segment between selected reference and payment-certified profile,5
100,q01,0.5844748596130233,106294.60273483848,106294.60273652,106294.91189567912,-0.3091608406393789,-0.3091591591219185,1.6815174603834748e-06,-0.3091591591219185,,,2,segment between selected reference and payment-certified profile,5
100,q99,2.6930887095833507,107575.38476440366,107575.3847721922,107576.82868423955,-1.4439198358886642,-1.4439120473398361,7.788548828102648e-06,-1.4439120473398361,,,2,segment between selected reference and payment-certified profile,5
101,q01,0.5844748596130233,106778.33201967148,106779.2379757451,106972.4732337829,-194.14121411142696,-193.2352580378065,0.905956073620473,-193.2352580378065,,,2,segment between selected reference and payment-certified profile,5
101,q99,2.6930887095833507,109861.47730300034,109865.41995962194,110846.31610834114,-984.838805340798,-980.8961487191991,3.9426566215988714,-980.8961487191991,,,2,segment between selected reference and payment-certified profile,5
102,q01,0.5844748596130233,106477.03370920826,106477.0337098237,106525.51013259683,-48.47642338856531,-48.47642277312116,6.154441507533193e-07,-48.47642277312116,,,2,segment between selected reference and payment-certified profile,5
