network,load_multiplier,day,mechanism,baseline_quality,payment_usd,realized_grid_value_usd,absolute_error_usd,normalized_absolute_error,overpayment_usd,congested_interval_share,native_max_line_loading,native_congested_lines,peak_dc_penetration_of_native_load,thermal_rating_normalization_factor,selected_critical_line,data_center_bus_indices_zero_based,settlement_schema_version,settlement_generator_segments,evaluation_generator_segments,estimator_checksum,checkpoint_schema_version,panel_checksum
IEEE RTS 24-bus,0.9,66,Nodal signed linear,Trace-Anchored Reference,60.763464778999335,53.14042179149692,7.623042987502416,0.143450931146395,7.623042987502416,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Nodal exact net value,Trace-Anchored Reference,53.27369071464091,53.14042179149692,0.1332689231439872,0.0025078634804007,0.1332689231439872,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Uniform gross,Risk-Constrained Convex Verifier,136.76672347224448,53.14042179149692,83.62630168074756,1.5736853201667422,83.62630168074756,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Nodal gross,Risk-Constrained Convex Verifier,136.76672347224448,53.14042179149692,83.62630168074756,1.5736853201667422,83.62630168074756,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Uniform signed net,Risk-Constrained Convex Verifier,0.0,53.14042179149692,53.14042179149692,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Nodal signed linear,Risk-Constrained Convex Verifier,0.0,53.14042179149692,53.14042179149692,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,66,Nodal exact net value,Risk-Constrained Convex Verifier,0.0,53.14042179149692,53.14042179149692,1.0,0.0,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,67,Uniform gross,Trace-Anchored Reference,364.5517195234372,362.56909363547857,1.9826258879585907,0.0054682705248779,1.9826258879585907,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,67,Nodal gross,Trace-Anchored Reference,364.5517195234372,362.56909363547857,1.9826258879585907,0.0054682705248779,1.9826258879585907,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
IEEE RTS 24-bus,0.9,67,Uniform signed net,Trace-Anchored Reference,364.5517195234372,362.56909363547857,1.9826258879585907,0.0054682705248779,1.9826258879585907,0.0,0.7933669552227564,0,0.06,1.0,22,2;7;14;20,6,10,40,2b6a85460913ed59818c8a4c066da4c062867b60b9a59affdbd1748303e08b4d,2,5fd0601b6060b332376803467c1da7f5cdfe68f512ac83c7e13d8a93746a60e1
