peak_dc_penetration,assignment_id,assignment_type,region_to_bus_mapping,counterfactual_method,mean_absolute_error_usd,mean_overpayment_usd,maximum_line_loading,mean_lmp_spread_usd_per_mwh
0.06,10,one-to-one permutation,42-116-15-80,Risk-Constrained Convex Verifier,198.74982982702198,174.43842483494012,1.000000000000001,0.139409151312375
0.06,10,one-to-one permutation,42-116-15-80,Single Feasible Projection,211.57773336462319,187.3009925958025,1.000000000000001,0.13702032478508816
0.06,10,one-to-one permutation,42-116-15-80,Trace-Anchored Reference,64.60070470481143,57.123199616471204,1.000000000000001,0.1441868043669387
0.06,11,one-to-one permutation,42-116-80-15,Feasible Quantile Projection,164.07389427722538,139.1096956108535,1.000000000000001,0.1417979778396552
0.06,11,one-to-one permutation,42-116-80-15,Risk-Constrained Convex Verifier,198.76423328120856,174.45285644455564,1.000000000000001,0.13702032478509135
0.06,11,one-to-one permutation,42-116-80-15,Single Feasible Projection,211.59100111020638,187.31426034138605,1.000000000000001,0.13702032478508816
0.06,11,one-to-one permutation,42-116-80-15,Trace-Anchored Reference,64.58006997110076,57.101253518147466,1.000000000000001,0.1441868043669387
0.06,12,one-to-one permutation,80-15-42-116,Feasible Quantile Projection,163.88210979928914,138.79497883756807,1.000000000000001,0.1417979778396552
0.06,12,one-to-one permutation,80-15-42-116,Risk-Constrained Convex Verifier,198.58096171091933,174.16345789089786,1.000000000000001,0.139409151312375
0.06,12,one-to-one permutation,80-15-42-116,Single Feasible Projection,211.4134537122305,187.0332392847753,1.000000000000001,0.13702032478508816
0.06,12,one-to-one permutation,80-15-42-116,Trace-Anchored Reference,64.41097929188766,56.832530264035356,1.000000000000001,0.1441868043669387
0.06,13,one-to-one permutation,80-15-116-42,Feasible Quantile Projection,163.8803338813473,138.7930801767188,1.000000000000001,0.1417979778396552
0.06,13,one-to-one permutation,80-15-116-42,Risk-Constrained Convex Verifier,198.57735902770455,174.15985939632077,1.000000000000001,0.139409151312375
0.06,13,one-to-one permutation,80-15-116-42,Single Feasible Projection,211.4101268293427,187.02991240188774,1.000000000000001,0.13702032478508816
0.06,13,one-to-one permutation,80-15-116-42,Trace-Anchored Reference,64.40260880276536,56.82396468573751,1.000000000000001,0.1441868043669387
0.06,14,one-to-one permutation,80-42-15-116,Feasible Quantile Projection,163.88572167561452,138.80379164501593,1.000000000000001,0.1417979778396552
0.06,14,one-to-one permutation,80-42-15-116,Risk-Constrained Convex Verifier,198.5863124506594,174.17327789320478,1.000000000000001,0.139409151312375
0.06,14,one-to-one permutation,80-42-15-116,Single Feasible Projection,211.4190920664539,187.04326409198566,1.000000000000001,0.13702032478508816
0.06,14,one-to-one permutation,80-42-15-116,Trace-Anchored Reference,64.4161978413914,56.842220057171964,1.000000000000001,0.1441868043669387
0.06,15,one-to-one permutation,80-42-116-15,Feasible Quantile Projection,163.88299086299216,138.8008983254293,1.000000000000001,0.1417979778396552
0.06,15,one-to-one permutation,80-42-116-15,Risk-Constrained Convex Verifier,198.58116306995396,174.1681340580974,1.0000000000000009,0.139409151312375
0.06,15,one-to-one permutation,80-42-116-15,Single Feasible Projection,211.41430783494394,187.03847986047597,1.000000000000001,0.13702032478508816
0.06,15,one-to-one permutation,80-42-116-15,Trace-Anchored Reference,64.40473606611852,56.83049999121411,1.000000000000001,0.1441868043669387
0.06,16,one-to-one permutation,80-116-15-42,Feasible Quantile Projection,163.89689815454733,138.83089951296145,1.000000000000001,0.1417979778396552
0.06,16,one-to-one permutation,80-116-15-42,Risk-Constrained Convex Verifier,198.60102965371038,174.20179491670564,1.000000000000001,0.139409151312375
0.06,16,one-to-one permutation,80-116-15-42,Single Feasible Projection,211.43497287256676,187.07268491492687,1.000000000000001,0.13702032478508816
0.06,16,one-to-one permutation,80-116-15-42,Trace-Anchored Reference,64.42573919631623,56.865368069846966,1.000000000000001,0.1441868043669387
