day,conversion_scenario,conversion_scale_factor,event_slot,counterfactual_method,settlement_payment_usd,independent_realized_value_usd,absolute_error_usd,overpayment_usd,maximum_post_contingency_loading,credible_line_contingencies,evaluation_schema_version,certified_checksum,payment_evaluation_profile_checksum,certificate_used_scale
71,heldout-interior-low,0.8,65,Feasible Quantile Projection,-14.129137025316597,6.148693692786765,20.27783071810336,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,65,Single Feasible Projection,-12.741216530332167,6.148693692786765,18.88991022311893,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,65,Risk-Constrained Convex Verifier,-12.741217642589618,6.148693692786765,18.889911335376382,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,65,Payment-Certified N-1 Verifier,-12.741216566048024,6.148693692786765,18.88991025883479,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,66,Feasible Quantile Projection,-11.539585210464791,17.14825055156325,28.687835762028044,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,66,Single Feasible Projection,-5.544579767094547,17.14825055156325,22.6928303186578,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,66,Risk-Constrained Convex Verifier,-5.544581708378246,17.14825055156325,22.692832259941497,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,66,Payment-Certified N-1 Verifier,-5.544579799839994,17.14825055156325,22.692830351403245,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,67,Feasible Quantile Projection,-8.155626430358097,32.096662684885814,40.25228911524391,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
71,heldout-interior-low,0.8,67,Single Feasible Projection,-11.332166627413244,32.096662684885814,43.42882931229906,0.0,1.0,37,7,ad6fc2ad618ac1a11ad4915a389153bd1e9263de04a1fc0c464078c3226884b3,11cb2d34d6927168c821427910ffba2339fc7e8f8b433f2f70c2f5934f782bdb,False
