day,slot,method,flexible_profile_mw,network_dc_scale,mapped_dc_load_mw,secure_cost_usd_per_interval,max_base_loading,max_postcontingency_loading,credible_contingencies,evaluated_finite_nonislanding_outages,solver_success,post_solution_profile_reoptimization
96,68,Single Feasible Projection,1.2224983609093334,0.1573939030950884,3.96986746283299,13266.51625373362,0.7516102529430093,1.000000000000002,37,37,True,False
96,69,Single Feasible Projection,0.5432447072698094,0.1573939030950884,3.8629570790950654,13265.568955835919,0.7516151790753783,1.000000000000002,37,37,True,False
96,70,Single Feasible Projection,1.586055303552766,0.1573939030950884,4.027089109032957,13266.782889378479,0.7516129111711979,1.0000000000000022,37,37,True,False
96,71,Single Feasible Projection,0.6732640614853107,0.1573939030950884,3.8834213327329468,13265.784214953244,0.7516148125388888,1.000000000000002,37,37,True,False
97,64,Risk-Constrained Convex Verifier,0.5262365257754853,0.1573939030950884,3.8602800950251246,13265.737914655492,0.751616110112364,1.0000000000000022,37,37,True,False
97,65,Risk-Constrained Convex Verifier,1.6180374654329972,0.1573939030950884,4.032122906320706,13266.483109103023,0.7515989338995119,1.000000000000002,37,37,True,False
97,66,Risk-Constrained Convex Verifier,1.8772285900685954,0.1573939030950884,4.072918009074708,13266.585694381745,0.7515887960343602,1.000000000000002,37,37,True,False
97,67,Risk-Constrained Convex Verifier,1.5353595442256287,0.1573939030950884,4.01910990560209,13266.37441474972,0.7515957128761603,1.000000000000002,37,37,True,False
97,68,Risk-Constrained Convex Verifier,0.6550692626774177,0.1573939030950884,3.8805575823325418,13265.733788893951,0.7516112924447053,1.0000000000000022,37,37,True,False
97,69,Risk-Constrained Convex Verifier,1.4601043515554109,0.1573939030950884,4.00726519709955,13266.401975234254,0.7515959237662674,1.0000000000000022,37,37,True,False
97,70,Risk-Constrained Convex Verifier,0.862840303724961,0.1573939030950884,3.9132594774331446,13266.170367102799,0.7516097504055373,1.0000000000000022,37,37,True,False
97,71,Risk-Constrained Convex Verifier,0.7542365667400857,0.1573939030950884,3.8961659113783833,13265.783924716132,0.7516059670821328,1.000000000000002,37,37,True,False
97,64,Single Feasible Projection,0.5262365257753014,0.1573939030950884,3.8602800950250957,13265.787345870092,0.7516200980112533,1.000000000000002,37,37,True,False
97,65,Single Feasible Projection,1.6180374654328054,0.1573939030950884,4.032122906320676,13266.53328907436,0.7516096075498984,1.000000000000002,37,37,True,False
97,66,Single Feasible Projection,1.8772285900684018,0.1573939030950884,4.072918009074677,13266.614847627787,0.7515993278440574,1.0000000000000022,37,37,True,False
97,67,Single Feasible Projection,1.535359544225436,0.1573939030950884,4.019109905602059,13266.409626966817,0.7516045901744997,1.000000000000002,37,37,True,False
97,68,Single Feasible Projection,0.6550692626772321,0.1573939030950884,3.880557582332513,13265.75704364103,0.7516152730151864,1.000000000000002,37,37,True,False
97,69,Single Feasible Projection,1.46010435155522,0.1573939030950884,4.00726519709952,13266.45965349136,0.7516040626235124,1.000000000000002,37,37,True,False
97,70,Single Feasible Projection,0.8628403037247736,0.1573939030950884,3.9132594774331158,13266.277862678635,0.7516154958938955,1.000000000000002,37,37,True,False
97,71,Single Feasible Projection,0.7542365667399,0.1573939030950884,3.8961659113783536,13265.802240511373,0.7516094806665514,1.0000000000000022,37,37,True,False
98,64,Risk-Constrained Convex Verifier,1.480389857058828,0.1573939030950884,4.010458011986992,13266.394960101636,0.7515942303610907,1.0000000000000022,37,37,True,False
98,65,Risk-Constrained Convex Verifier,1.340425519643878,0.1573939030950884,3.9884284786271342,13266.300710003805,0.7515998786879227,1.0000000000000022,37,37,True,False
98,66,Risk-Constrained Convex Verifier,3.2899812602537324,0.1573939030950884,4.295276665943155,13268.233102383001,0.7515613950662646,1.0000000000000022,37,37,True,False
98,67,Risk-Constrained Convex Verifier,1.053490152105276,0.1573939030950884,3.9432666011942095,13266.123172131196,0.7516068373484402,1.000000000000002,37,37,True,False
98,68,Risk-Constrained Convex Verifier,1.6424478787407315,0.1573939030950884,4.0359649565473745,13266.572688595275,0.7515943237773595,1.0000000000000022,37,37,True,False
98,69,Risk-Constrained Convex Verifier,1.656291747399055,0.1573939030950884,4.038143897069443,13266.692828576937,0.7515922462619996,1.000000000000002,37,37,True,False
98,70,Risk-Constrained Convex Verifier,0.4467896713526258,0.1573939030950884,3.8477756445188835,13265.583421306957,0.7516162238710082,1.0000000000000022,37,37,True,False
98,71,Risk-Constrained Convex Verifier,0.10306618952172464,0.1573939030950884,3.7936756641280844,13265.268229111625,0.7516207690369332,1.000000000000002,37,37,True,False
98,64,Single Feasible Projection,1.4803898570586371,0.1573939030950884,4.0104580119869615,13266.446700604702,0.7516021013519971,1.000000000000002,37,37,True,False
98,65,Single Feasible Projection,1.3404255196436887,0.1573939030950884,3.988428478627104,13266.352719917464,0.7516078758694813,1.0000000000000022,37,37,True,False
98,66,Single Feasible Projection,3.289981260253527,0.1573939030950884,4.295276665943122,13268.458130978866,0.7515791014009248,1.0000000000000022,37,37,True,False
98,67,Single Feasible Projection,1.0534901521050895,0.1573939030950884,3.9432666011941806,13266.180208082566,0.7516137749065801,1.000000000000002,37,37,True,False
98,68,Single Feasible Projection,1.6424478787405397,0.1573939030950884,4.035964956547344,13266.643689289791,0.7516039411820643,1.0000000000000022,37,37,True,False
98,69,Single Feasible Projection,1.6562917473988632,0.1573939030950884,4.038143897069413,13266.795419431168,0.7516014178532157,1.0000000000000022,37,37,True,False
98,70,Single Feasible Projection,0.44678967135244285,0.1573939030950884,3.8477756445188542,13265.604191128172,0.7516194011347798,1.0000000000000022,37,37,True,False
98,71,Single Feasible Projection,0.10306618952154523,0.1573939030950884,3.7936756641280556,13265.265771010756,0.7516215954598956,1.000000000000002,37,37,True,False
99,64,Risk-Constrained Convex Verifier,0.7987629687921585,0.1573939030950884,3.9031740955881404,13265.84986190996,0.7516093409640233,1.0000000000000022,37,37,True,False
99,65,Risk-Constrained Convex Verifier,0.7861622230337701,0.1573939030950884,3.901190815031318,13265.86777971973,0.7516064565944899,1.000000000000002,37,37,True,False
99,66,Risk-Constrained Convex Verifier,1.3622366759790312,0.1573939030950884,3.991861421653741,13266.503137796106,0.7516065837415961,1.000000000000002,37,37,True,False
99,67,Risk-Constrained Convex Verifier,0.9832537082591797,0.1573939030950884,3.9322118131577537,13265.876637127949,0.7516015935465975,1.000000000000002,37,37,True,False
99,68,Risk-Constrained Convex Verifier,0.8864031332372875,0.1573939030950884,3.916968123138054,13265.834533578873,0.7516105811014944,1.000000000000002,37,37,True,False
99,69,Risk-Constrained Convex Verifier,1.8580166907060276,0.1573939030950884,4.069894173248164,13266.739924423415,0.7515892352770019,1.0000000000000022,37,37,True,False
99,70,Risk-Constrained Convex Verifier,1.087336998335215,0.1573939030950884,3.9485938884297993,13266.063184788722,0.751606684670065,1.0000000000000022,37,37,True,False
99,71,Risk-Constrained Convex Verifier,0.4947629141726866,0.1573939030950884,3.855326340450462,13265.586945501422,0.7516176210193735,1.000000000000002,37,37,True,False
99,64,Single Feasible Projection,0.7987629687919728,0.1573939030950884,3.903174095588111,13265.878349760533,0.751614289647354,1.000000000000002,37,37,True,False
99,65,Single Feasible Projection,0.7861622230335836,0.1573939030950884,3.9011908150312893,13265.903824718425,0.7516104486345139,1.000000000000002,37,37,True,False
99,66,Single Feasible Projection,1.3622366759788402,0.1573939030950884,3.991861421653711,13266.608668950874,0.7516167253664005,1.000000000000002,37,37,True,False
99,67,Single Feasible Projection,0.9832537082589923,0.1573939030950884,3.9322118131577244,13265.876964538333,0.7516062896736917,1.0000000000000022,37,37,True,False
99,68,Single Feasible Projection,0.8864031332371018,0.1573939030950884,3.9169681231380253,13265.841642035906,0.7516168136403057,1.000000000000002,37,37,True,False
99,69,Single Feasible Projection,1.858016690705834,0.1573939030950884,4.069894173248133,13266.816808193467,0.7515996885277568,1.0000000000000022,37,37,True,False
99,70,Single Feasible Projection,1.0873369983350276,0.1573939030950884,3.948593888429769,13266.0965382558,0.7516139378514992,1.0000000000000022,37,37,True,False
