day,slot,baseline_method,nodal_signed_linear_usd,nodal_exact_net_value_usd,polyhedral_bregman_gap_usd,subgradient_inequality_violation_usd
67,71,Risk-Constrained Convex Verifier,-0.007884946625196898,-0.00788494663356687,8.369971382649055e-12,0.0
67,71,Trace-Anchored Reference,120.53338161465156,118.99540905548929,1.5379725591622702,0.0
68,64,High-5-of-10,1071.09084590972,567.076532764022,504.014313145698,0.0
68,64,Ridge,1175.163403827689,671.149090681989,504.01431314570004,0.0
68,64,Gradient Boosting,561.3658579869103,546.1141240181569,15.251733968753456,0.0
68,64,Extra Trees,1994.294963546088,912.1337257306404,1082.1612378154475,0.0
68,64,Metadata Gradient Boosting,552.7364299194281,537.4846959506722,15.251733968755957,0.0
68,64,Ex-post Metadata Gradient Boosting,569.510756291425,554.2590223226762,15.251733968748795,0.0
68,64,Ex-post Quantile Gradient Boosting,335.2764756000036,335.2764756000033,2.8421709430404007e-13,0.0
68,64,Synthetic Control,1947.283638655806,865.1224008403624,1082.1612378154437,0.0
68,64,Feasible Quantile Projection,-0.0006972778010059244,-0.0006972778028284665,1.822542117224657e-12,0.0
68,64,Tail-Risk Feasible Counterfactual,-0.00038911275624754765,-0.000389112756238319,-9.22867468208799e-15,9.22867468208799e-15
68,64,Single Feasible Projection,-0.00027734933881085055,-0.0002773493397398852,9.29034627006331e-13,0.0
68,64,Risk-Constrained Convex Verifier,-0.00027734933881085055,-0.0002773493397398852,9.29034627006331e-13,0.0
68,64,Trace-Anchored Reference,-9.182723408752455,-9.1827234087541,1.644906433284632e-12,0.0
68,65,High-5-of-10,1987.6760210025664,912.4379857737658,1075.2380352288005,0.0
68,65,Ridge,1137.3891977039139,634.9349866579432,502.4542110459706,0.0
68,65,Gradient Boosting,516.8782184607657,502.7226338947512,14.155584566014454,0.0
68,65,Extra Trees,1824.27472703067,749.0366918018735,1075.2380352287964,0.0
68,65,Metadata Gradient Boosting,550.0700511459776,535.9144665799613,14.155584566016273,0.0
68,65,Ex-post Metadata Gradient Boosting,544.3983856377913,530.242801071774,14.155584566017296,0.0
68,65,Ex-post Quantile Gradient Boosting,29.950320714045255,29.950320714040572,4.68247662865906e-12,0.0
68,65,Synthetic Control,609.19505665807,556.37571513679,52.81934152128008,0.0
68,65,Feasible Quantile Projection,-0.007565982357094825,-0.007565982359665213,2.5703883466121624e-12,0.0
68,65,Tail-Risk Feasible Counterfactual,-0.0027127231439321164,-0.002712723144213669,2.815525590449397e-13,0.0
