day,baseline_method,gross_to_signed_error_reduction_usd,uniform_to_nodal_error_reduction_usd,linear_to_exact_error_reduction_usd,uniform_gross_to_exact_error_reduction_usd
68,Single Feasible Projection,297.2321920043248,-0.005975148362921345,-1.1809220268332865e-11,297.2707850767332
69,Single Feasible Projection,1021.0985893231702,-0.015113794735896136,-1.0459189070388675e-11,1021.1964853697555
70,Single Feasible Projection,788.2145517450467,-0.005258094059527707,-2.1827872842550278e-11,788.2481139269598
71,Single Feasible Projection,-1431.0625942853294,-0.015371590070571983,1.8189894035458565e-11,-1431.1618783286133
72,Single Feasible Projection,64.60293783855923,-0.007078207688209659,2.2737367544323206e-11,64.64865549533693
73,Single Feasible Projection,289.8438288780692,-0.014273800721525731,2.3419488570652902e-11,289.936022375475
74,Single Feasible Projection,-529.3743603487657,-0.013318062973098677,3.410605131648481e-12,-529.2884705475453
75,Single Feasible Projection,1637.8248401808053,0.008916887596996048,13.475960516176201,1651.3755070896775
76,Single Feasible Projection,-571.7861344312012,-0.004262460636596188,-1.375610736431554e-11,-571.7586034910531
77,Single Feasible Projection,-88.37580291906238,-0.00043887590595659276,-5.9117155615240335e-12,-88.37424729127088
78,Single Feasible Projection,14.289908981718042,-0.0029944639646828364,6.536993168992922e-12,14.306243325504965
79,Single Feasible Projection,1254.8279529051724,-26.57714248913544,48.339202630277214,1326.6367504031978
80,Single Feasible Projection,-522.8440321755467,-0.014390088381901478,-0.09956876924184144,-522.8720294971541
81,Single Feasible Projection,2206.5510314987823,0.0591707216190116,7.625970204464011,2214.3982370747844
82,Single Feasible Projection,-503.8389211704866,-0.0058885434838202855,1.375610736431554e-11,-503.8008874730117
83,Single Feasible Projection,-222.00467228521555,-0.0013917916018044707,-0.11591621139746167,-222.12587185264127
84,Single Feasible Projection,-166.90137795319902,-0.002402923001227464,1.0686562745831907e-11,-166.90749011608455
85,Single Feasible Projection,439.1373418288362,-0.009013477323833285,2.575006874394603e-11,439.19555925912255
86,Single Feasible Projection,361.6517091125524,-0.011129474636305758,-2.4442670110147446e-12,361.7182973585535
